E3 Ligase,InChI Key,Smiles,source,id
MDM2,BDUHCSBCVGXTJM-IZLXSDGUSA-N,COc1ccc(C2=N[C@H](c3ccc(Cl)cc3)[C@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,Literature,lit_37
CIAP1,VGGGPCQERPFHOB-RDBSUJKOSA-N,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,Literature,lit_38
CIAP1,QESAPZFIIYNQSO-WXRXAMBDSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](N)C[C@H]1C(=O)Nc1c(F)cccc1F)C(C)(C)C,Literature,lit_39
XIAP,NJUHOYLCAHNNLJ-QODFHFCMSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,Literature,lit_40
DCAF16,XJPUWRWIBSSPSL-UHFFFAOYSA-N,COc1ccc2c(c1)CCCN2C(=O)CCl,Literature,lit_41
AHR,OUGIDAPQYNCXRA-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,Literature,lit_42
AHR,VFMMPHCGEFXGIP-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,Literature,lit_43
AHR,KDDXOGDIPZSCTM-UHFFFAOYSA-N,COC(=O)c1csc(C(=O)c2c[nH]c3ccccc23)n1,Literature,lit_44
IAP,JIOIGDQISXGQSO-SSKFGXFMSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C)CC1,Literature,lit_45
MDM2,BDUHCSBCVGXTJM-WUFINQPMSA-N,COc1ccc(C2=N[C@@H](c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,Literature,lit_46
CIAP1,UUPZYAHONNHULX-CJBSCAABSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(c1ccccc1)c1ccccc1)C1CCCCC1,Literature,lit_47
XIAP,UUPZYAHONNHULX-CJBSCAABSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(c1ccccc1)c1ccccc1)C1CCCCC1,Literature,lit_47
CIAP1,LCQFGFLQFLFDST-RTFZILSDSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,Literature,lit_48
XIAP,LCQFGFLQFLFDST-RTFZILSDSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,Literature,lit_48
CIAP2,LCQFGFLQFLFDST-RTFZILSDSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,Literature,lit_48
XIAP,GUOVHJVNYPRNQS-SHUILBLCSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,Literature,lit_49
XIAP,GUOVHJVNYPRNQS-XIKYZZKVSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,Literature,lit_50
CIAP1,GBQXNBCXOOCMBG-CFYMNZCRSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N(CCc1ccccc1)C2)C1CCCCC1,Literature,lit_51
XIAP,GBQXNBCXOOCMBG-CFYMNZCRSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N(CCc1ccccc1)C2)C1CCCCC1,Literature,lit_51
XIAP,OXVDUVSHCWCOFU-ATANMQQVSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc(F)c3ccccc23)cs1)C1CCCCC1,Literature,lit_52
XIAP,DAXYGNXUBMFNHC-XZOYJPPVSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc2c(-c3ccccc3)nccc2s1)C1CCCCC1,Literature,lit_53
IAP,ORPIGORNDCHEIA-HDBFHEOPSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(-c2ccc(F)c(C(=O)O)c2)c1)C1CCCCC1,Literature,lit_54
IAP,FFGHOKFUXXWKFH-OWSXEPHWSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(-n2ccc3c(C(=O)O)cccc32)c1)C(C)C,Literature,lit_55
CIAP1,WZRFLSDVFPIXOV-LRQRDZAKSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,Literature,lit_56
CIAP2,WZRFLSDVFPIXOV-LRQRDZAKSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,Literature,lit_56
XIAP,WZRFLSDVFPIXOV-LRQRDZAKSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,Literature,lit_56
IAP,PLYJYKAWZXEBFC-WDNCENIBSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1cncc(C(=O)c2ccc(F)cc2)c1)C1CCCCC1,Literature,lit_57
CRBN,IICWMVJMJVXCLY-UHFFFAOYSA-N,Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,Literature,lit_58
XIAP,PBGOFGSVVXGJCA-KDJJVYBXSA-N,CN[C@@H](C)C(=O)N[C@H]1CCO[C@H]2CC(C)(C)[C@@H](C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O,Literature,lit_59
CRBN,BERVIROBWDIAQO-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3cccc4cccc(c34)C2=O)C(=O)N1,Literature,lit_60
RNF4,DPADEQNOMBTITM-UHFFFAOYSA-N,COc1ccc(Oc2ccc(N(Cc3ccccc3)C(=O)CCl)cc2)cc1,Literature,lit_61
CRBN,GRQMMULSBXXEST-UHFFFAOYSA-N,CN1CCN(c2ccc(NC3CCC(=O)NC3=O)cc2)CC1,Literature,lit_62
CRBN,WCKFQKVNTHAOGC-UHFFFAOYSA-N,O=C1CCC(n2c(=O)oc3ccccc32)C(=O)N1,Literature,lit_63
CRBN,GOTYRUGSSMKFNF-JTQLQIEISA-N,Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,Literature,lit_64
RNF114,JZIQWNPPBKFOPT-LSYMHUITSA-N,COC(=O)C[C@H]1[C@]2(C)C3=C(C)[C@H](c4ccoc4)C[C@H]3O[C@@H]2[C@@H]2OC(=O)[C@]3(C)C=CC(=O)[C@@]1(C)[C@@H]23,Literature,lit_65
CRBN,WQBYRVHGTFSBTA-UHFFFAOYSA-N,COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,Literature,lit_66
DCAF11,IARWWDNCNPMRCK-UHFFFAOYSA-N,O=C(CCl)NC(C(=O)NCc1ccccc1)c1ccc(Cl)c(Cl)c1,Literature,lit_67
DCAF11,OOWBZXBMBGHPDI-UHFFFAOYSA-N,O=C(CCl)NC(C(=O)NCc1ccccc1)c1ccc(Cl)cc1,Literature,lit_68
IAP,YIULOCFICSPXDR-OJAHFUOMSA-N,CC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC)C(C)(C)C)c1ccccc1,Literature,lit_69
XIAP,JUJIMRZGUBTJRV-NASSWSRMSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C,Literature,lit_70
IAP,QHYITBCWKKKNJG-FINUNZQWSA-N,CN[C@@H](C)C(=O)N[C@H]1CN(C(N)=O)CC[C@H]2CCC(C(=O)N[C@@H]3CCCc4ccccc43)N2C1=O,Literature,lit_71
CIAP1,XLPLPVLYDHZSGR-PIXQIBFHSA-N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,Literature,lit_72
XIAP,XLPLPVLYDHZSGR-PIXQIBFHSA-N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,Literature,lit_72
XIAP,XIQKDUKFFKQZAO-DNRQZRRGSA-N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,Literature,lit_73
CIAP1,XIQKDUKFFKQZAO-DNRQZRRGSA-N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,Literature,lit_73
CRBN,KAKZYGLQCHMNGS-UHFFFAOYSA-N,O=C1CCC(c2ccccc2)C(=O)N1,Literature,lit_74
CRBN,DFRCTMCXNOBCLU-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3cc4c(cc3C2=O)CNC4)C(=O)N1,Literature,lit_75
CRBN,JOFWTVIUJXDETL-UHFFFAOYSA-N,O=C1CCC(N2Cc3cc4c(cc3C2=O)CNC4)C(=O)N1,Literature,lit_76
CRBN,IYBINJWRHRKLTJ-UHFFFAOYSA-N,O=C1CCN(c2ccccc2)C(=O)N1,Literature,lit_77
CRBN,JADCAPMFEZPUSD-UHFFFAOYSA-N,O=C1CCN(c2ccccc2Cl)C(=O)N1,Literature,lit_78
CRBN,PCUUMCBQIMQBTC-UHFFFAOYSA-N,COc1ccccc1N1CCC(=O)NC1=O,Literature,lit_79
CRBN,IMJAVZDZCOZXOZ-UHFFFAOYSA-N,O=C1CCC(Nc2ccccc2)C(=O)N1,Literature,lit_80
FEM1B,GLDJSVHDOXCYPT-UHFFFAOYSA-N,N#CCCN(C(=O)CCl)c1ccc2c(c1)OCCO2,Literature,lit_81
CRBN,MPQLCQKBYRSPNA-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3ccc(F)cc3C2=O)C(=O)N1,Literature,lit_82
VHL,JOSFQWNOUSNZBP-UUZHKXTQSA-N,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,Literature,lit_83
IAP,VGGGPCQERPFHOB-RDBSUJKOSA-N,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O,Literature,lit_84
VHL,ZLOXMSNKPDWMEF-ZIFCJYIRSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,Literature,lit_85
IAP,QXPPEMGSZLSOPD-FOYXXMMASA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](N)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1,Literature,lit_86
UBR1,ODKSFYDXXFIFQN-BYPYZUCNSA-N,N=C(N)NCCC[C@H](N)C(=O)O,Literature,lit_87
UBR1,HNDVDQJCIGZPNO-YFKPBYRVSA-N,N[C@@H](Cc1c[nH]cn1)C(=O)O,Literature,lit_88
VHL,WKFNGJFHCRCFLM-CABCVRRESA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)CN)cc1,Literature,lit_89
VHL,MMTAPOFRVSMISW-XZJROXQQSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C)N)cc1,Literature,lit_90
VHL,JFQKLDBFTRHRCZ-IKGGRYGDSA-N,CC[C@H](N)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1,Literature,lit_91
